Month,Revenue,Marketing_Spend,Profit,Profit_Margin_%,CAC,Revenue_WhatIf,Marketing_Spend_WhatIf,Profit_WhatIf,Profit_Margin_%_WhatIf,CAC_WhatIf
2024-01,92957.01,14050.65,47405.70999999999,50.99745570559981,18.809437751004015,90633.08,12645.58,46486.85,51.291261424636566,16.928487282463188
2024-02,95752.46,9912.65,2309.0400000000027,2.411468070898651,49.072524752475246,93358.65,8921.38,906.4999999999909,0.9709866198793481,44.16524752475247
2024-03,61397.85,8583.79,-7507.260000000002,-12.22723596998918,12.623220588235295,59862.9,7725.41,-8183.829999999998,-13.670954798380963,11.360897058823529
2024-04,85870.61,20963.85,21680.32,25.247660404415434,113.3181081081081,83723.84,18867.46,21629.939999999995,25.83486376162392,101.98627027027027
2024-05,105436.44,15485.51,18062.57,17.131240394687072,16.88714285714286,102800.53,13936.96,16975.21,16.512765060647062,15.19842966194111
2024-06,70244.59,10127.76,24552.079999999994,34.952271769256534,15.726335403726708,68488.48,9114.98,23808.749999999996,34.7631455684226,14.153695652173912
2024-07,105534.62,19797.02,11953.689999999991,11.326794941792553,42.03188959660297,102896.25,17817.32,11295.019999999997,10.977095861122244,37.828704883227175
2024-08,86403.05,21607.43,-14968.659999999996,-17.324226401730026,34.627291666666665,84242.97,19446.69,-14967.999999999996,-17.767654677891812,31.164567307692305
2024-09,97842.89,13013.76,52079.67,53.227853347340826,53.9990041493776,95396.82,11712.38,50934.98000000001,53.3927441187243,48.599087136929455
2024-10,62459.32,14115.42,12283.810000000003,19.66689678978254,30.685695652173912,60897.84,12703.88,12133.87,19.9249595716367,27.617130434782606
2024-11,72763.57,13873.51,16319.640000000009,22.42831131017899,20.462404129793512,70944.48,12486.16,15887.899999999998,22.39483607463188,18.41616519174041
2024-12,90684.83,24040.79,26375.72,29.085041015128994,50.93387711864407,88417.71,21636.71,26512.680000000008,29.98571213843924,45.84048728813559
2025-01,119214.25,20252.89,30561.369999999995,25.63566855472395,24.460012077294685,116233.89,18227.6,29606.299999999996,25.471314777471527,22.014009661835747
2025-02,103199.99,8706.21,50750.90000000001,49.17723344740635,22.554948186528495,100619.99,7835.59,49041.520000000004,48.73934095998221,20.299455958549224
2025-03,60823.71,27280.09,-53030.96000000001,-87.18797324267133,39.883172514619886,59303.12,24552.08,-51823.54,-87.38754385941246,35.894853801169596
2025-04,74672.39,18094.74,-28295.210000000003,-37.89246601052946,49.037235772357725,72805.58,16285.27,-28352.55,-38.94282553617456,44.133523035230354
2025-05,87102.61,20860.89,20477.22,23.50930701158094,42.835503080082134,84925.04,18774.8,20385.739999999994,24.004392579620802,38.55195071868583
2025-06,61449.06,19209.58,-47612.78,-77.48333334960698,88.93324074074074,59912.83,17288.62,-47228.04999999999,-78.82794052626122,80.0399074074074
2025-07,53223.68,25425.75,-39848.829999999994,-74.8704899773935,111.51644736842105,51893.09,22883.18,-38636.85,-74.45471063681119,100.36482456140351
2025-08,73621.45,19640.52,-35786.350000000006,-48.608591653655296,23.32603325415677,71780.91,17676.47,-35662.84,-49.68290315628486,20.993432304038006
2025-09,45861.08,22997.63,-50379.86,-109.8531914206992,59.734103896103896,44714.55,20697.87,-49226.62999999999,-110.09085409559079,53.7607012987013
2025-10,93072.13,17564.84,38814.16,41.70331118456191,19.217549234135667,90745.33,15808.36,38243.840000000004,42.14414119161835,17.295798687089714
2025-11,110688.97,19012.89,45872.740000000005,41.44291883825462,21.55656462585034,107921.75,17111.6,45006.810000000005,41.703187726292434,19.400907029478457
2025-12,110288.89,22056.89,40325.31,36.56334740516474,74.2656228956229,107531.67,19851.2,39773.78,36.98796828878413,66.83905723905724
